NAME	mag	z	sigma   
2970913529	17.61027427083111	2.035502464	0.03755346748712082
2939010411	20.041807949154812	2.039682203	0.10283704945746874
2938268450	19.806292345443467	2.040829945	0.1689025566514774
2938343292	18.027196482947137	2.041162491	0.12556951503414443
2970518535	20.454394672099664	2.056067467	0.1983032311802235
2939967017	19.763713176461966	2.061190863	0.29872262497540014
2938302270	20.073008550927778	2.061774969	0.23672011565438014
2971245499	19.507611679181483	2.064399958	0.11097335971891302
2970689746	19.062870028847296	2.070267963	0.07992186059812578
2938666440	18.426972226426233	2.070277512	0.10530180786229784
2925733668	20.205123166885713	2.0718400480000003	0.1724106349194173
2938207388	17.58203518718068	2.080656727	0.14945446971731005
2970608080	20.08409234031695	2.082014036	0.11751751404721028
2925352689	19.56000102218832	2.082586686	0.0827623116380508
2938627200	19.236219353553757	2.0887533819999997	0.10643456763047897
2940876953	19.854978660324218	2.092285037	0.14743343174204002
2937538328	19.56328097249674	2.096096754	0.14242603080565303
2938664659	20.475755898524458	2.096333981	0.1737324646765037
