Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2938985411 11.83 5.27 0.1085 0.03341 21 0
2938238274 15.24 8.37 0.1193 0.04942 18 0
2939796085 7.72 3.9 0.1235 0.02313 21 1
2925595945 12.49 5.53 0.1531 0.03833 13 2
2970678251 16.72 7.21 nan nan 15 5
2925787914 15.71 8.09 0.2407 0.04429 15 1
2938240719 10.43 4.39 0.2601 0.0242 19 0
2970681444 20.55 6.47 nan nan 13 5
2925599574 28.48 13.27 nan nan 9 6
2940401883 16.08 7.99 nan nan 12 5
2970686183 16.41 7.39 0.1215 0.06568 14 6
2938250517 10.25 5.07 0.1078 0.02839 19 0
2925794196 11.65 4.66 0.0827 0.05178 10 4
2925605251 9.22 3.59 0.19 0.02597 14 1
2925794565 14.85 7.73 0.1709 0.04212 16 0
2938254204 25.98 5.9 0.1116 0.14813 11 7
2939010304 27.38 8.16 nan nan 10 12
2940437161 12.29 6.15 nan nan 21 2
2939870372 16.11 9.27 0.2027 0.04139 17 2
2970695909 11.79 4.11 0.1807 0.03016 19 0
2925606181 11.33 4.12 0.1736 0.03785 14 1
2938255400 26.65 10.61 nan nan 16 3
2925810744 20.61 3.7 0.0223 0.40211 11 5
2939898280 10.09 3.42 0.2186 0.025 16 1
2940471989 14.79 3.97 nan nan 16 4
2970698702 15.44 6.95 0.1918 0.03903 18 0
2939903112 9.44 2.39 0.0385 0.0465 19 0
2970699633 10.43 3.46 0.0853 0.03298 18 0
2938258860 21.23 7.18 0.362 0.05049 18 0
2940484506 21.89 6.66 nan nan 18 5
2925608973 13.05 4.54 nan nan 15 0
2939919143 8.92 3.96 0.2511 0.01775 23 0
2939022323 19.6 6.65 nan nan 18 3
2970709482 13.92 10.05 0.2159 0.04203 18 0
2939964248 28.76 0.0 nan nan 1 21
2925835393 22.25 4.35 0.1479 0.09459 13 2
2925609647 15.25 6.61 0.1543 0.05394 15 0
2939065208 9.22 3.01 0.1237 0.02262 22 0
2970711148 13.26 4.51 0.0677 0.06088 16 2
2940544273 7.24 1.62 0.0729 0.01871 23 0
2925835969 19.41 11.19 0.2589 0.05206 13 2
2938268664 21.27 5.88 nan nan 10 8
2925836943 nan nan 0 0 0 12
2970716072 7.59 3.26 0.0262 0.05303 17 2
2925616278 11.56 4.69 0.0902 0.04264 14 1
2939970002 7.33 2.06 0.1801 0.0181 18 0
2939173668 22.57 10.99 0.1658 0.09288 11 6
2940555200 11.67 5.64 0.2447 0.02613 21 1
2925623118 40.29 9.28 nan nan 2 12
2938273176 8.42 3.02 0.0748 0.02649 18 0
2939981369 25.35 11.26 0.379 0.06628 13 9
2940557913 17.2 6.06 0.0919 0.06914 18 1
2939183679 15.26 9.35 0.5093 0.03746 11 0
2925626757 10.49 3.81 nan nan 14 1
2970718395 9.58 4.32 0.124 0.03198 19 1
2939188171 13.25 5.11 0.127 0.05462 10 7
2925849858 18.66 8.73 0.105 0.08749 14 1
2970720432 11.68 5.13 0.1042 0.03907 17 2
2925632393 21.25 9.26 nan nan 11 4
2938284644 15.24 4.29 0.1619 0.05267 14 5
2939192865 18.52 8.32 0.1002 0.08058 13 4
2939985895 5.62 1.97 0.096 0.0131 23 0
2925850953 15.66 6.07 0.2021 0.0525 13 2
2940655235 32.04 0.0 nan nan 1 21
2940658750 15.61 4.56 nan nan 5 16
2970721395 11.63 2.56 nan nan 20 0
2940659598 22.24 10.35 0.191 0.06321 19 2
2938285346 17.51 7.25 0.0559 0.11629 14 4
2939193043 18.82 6.31 0.2326 0.0577 14 3
2939989351 11.88 4.13 0.1538 0.03175 20 0
2925637387 17.59 6.92 0.0389 0.15007 14 1
2925852612 13.81 4.76 0.2641 0.04412 14 1
2940663814 12.33 3.62 0.1923 0.02868 22 1
2939200583 16.87 5.09 nan nan 17 0
2940669226 32.9 2.94 nan nan 5 13
2925855001 11.02 4.03 0.0639 0.0481 14 1
2939205703 18.55 5.39 nan nan 12 5
2938332012 18.22 7.97 0.097 0.07 16 3
2925642351 9.06 4.45 0.2418 0.02377 16 0
2940670625 19.49 4.72 nan nan 9 1
2939223775 12.35 5.09 0.1318 0.03265 20 1
2970742268 7.06 2.32 nan nan 20 0
2925643975 28.25 7.62 0.6175 0.09016 9 7
2940671049 14.1 5.25 0.1337 0.03687 21 1
2939999066 10.37 6.92 0.1246 0.0298 20 0
2938390017 15.85 6.77 0.1232 0.04996 18 2
2970744291 11.81 4.28 0.3602 0.03194 17 1
2939225137 12.33 5.85 0.1162 0.03849 17 3
2925858928 14.31 5.71 0.1734 0.0504 14 1
2940000433 20.83 5.26 0.2955 0.06086 16 6
2940687692 15.57 7.62 0.1158 0.05459 19 2
2938396525 5.06 1.06 0.0902 0.01243 20 1
2940008828 13.03 3.57 0.0462 0.06 23 0
2970744543 14.54 5.96 0.1025 0.04817 18 2
2937419923 14.45 5.1 0.0989 0.05065 17 2
2940011599 11.6 3.19 0.0794 0.03851 20 3
2940698117 20.4 7.05 0.1918 0.05173 23 1
2938397086 20.26 7.01 0.2656 0.05071 21 0
2925652957 11.47 3.12 nan nan 14 1
2939243095 16.86 7.19 0.2177 0.05034 16 3
2937422542 12.01 6.86 0.3356 0.03451 17 2
2970745846 18.76 7.44 0.0298 0.21839 18 2
2939270068 17.02 5.91 0.1288 0.05391 18 2
2940013145 15.54 8.42 0.1632 0.04315 19 0
2925656813 15.31 8.0 0.1596 0.04972 12 4
2938398472 12.78 5.99 0.1883 0.03329 21 0
2940701731 7.72 1.65 0.0938 0.01836 24 0
2940028080 14.49 6.61 nan nan 20 0
2937423380 25.03 14.81 0.1323 0.17086 15 4
2940710225 12.49 4.65 0.1999 0.02744 24 0
2970751833 25.39 8.99 0.2786 0.06909 19 1
2940714984 20.14 4.17 0.2294 0.07965 10 13
2938399424 7.82 1.83 0.1197 0.01902 22 0
2925674035 21.53 7.04 nan nan 12 3
2939312215 22.96 8.05 0.4006 0.06491 12 8
2937432922 14.92 9.63 0.2477 0.04597 17 2
2925677552 9.58 4.38 0.1643 0.03014 13 2
2970752138 10.02 5.51 0.0632 0.03607 20 0
2940720198 14.29 7.5 nan nan 22 0
2939313779 19.81 9.46 nan nan 11 9
2940060892 12.29 4.64 0.1707 0.03703 16 1
2937448560 20.66 10.08 0.0232 0.2939 18 1
2940720623 10.17 4.64 0.0794 0.03075 23 0
2938400782 12.57 2.85 0.0447 0.06208 22 0
2925685619 30.77 2.63 nan nan 4 11
2939317867 22.65 5.48 0.2624 0.0802 11 8
2940072166 12.83 8.41 0.1695 0.03743 14 2
2940732486 9.87 2.55 0.1391 0.02335 23 0
2970758857 19.97 8.26 0.7917 0.04587 17 2
2938404577 14.11 5.02 0.1865 0.03682 18 2
2937556864 22.91 10.31 0.1087 0.11489 10 9
2940081689 11.34 5.61 0.1526 0.03272 16 0
2940780394 10.89 6.22 0.1175 0.02925 19 1
2970771568 11.23 8.22 0.0967 0.0362 18 1
2938430838 13.64 6.03 0.1375 0.04013 20 0
2940082670 12.1 2.23 nan nan 14 0
2940084258 29.15 16.98 nan nan 7 8
2940782815 7.98 4.84 0.0721 0.02679 18 0
2937571329 15.72 7.71 0.0594 0.07503 18 0
2938455213 14.27 4.21 0.0868 0.04909 21 1
2970784222 10.9 4.72 0.0868 0.03628 20 0
2939347000 10.8 3.36 nan nan 22 1
2940086563 9.8 2.89 0.1 0.03165 16 0
2940796437 9.6 4.75 nan nan 19 0
2937590486 14.72 7.85 nan nan 16 2
2970786038 18.13 7.27 nan nan 16 2
2939348426 20.86 7.33 0.1087 0.08037 19 4
2940799082 12.29 5.28 0.0713 0.04869 16 3
2938473381 18.9 8.85 0.2256 0.04836 17 4
2940088809 12.77 4.17 0.0493 0.06835 15 1
2937678396 18.52 6.13 nan nan 16 3
2970788770 13.6 6.66 nan nan 16 4
2939358762 24.9 8.24 0.0918 0.15848 10 14
2938477352 13.17 4.43 0.2214 0.0305 20 1
2940093647 23.02 7.32 nan nan 12 4
2937696114 13.56 5.19 0.1136 0.04291 18 1
2937701960 27.82 13.23 0.2336 0.17584 4 15
2970791376 22.49 14.72 nan nan 19 1
2940093702 17.16 6.18 0.1797 0.05528 13 3
2939366108 11.4 3.97 0.1216 0.03124 19 0
2939379534 15.26 4.7 0.1511 0.04421 18 1
2937707101 12.55 4.56 0.1518 0.03299 19 0
2940876978 15.17 6.6 0.0559 0.08376 17 5
2970798013 20.91 7.48 0.3255 0.05214 19 1
2939382734 7.55 2.55 0.1069 0.01971 19 0
2937711730 15.66 8.4 0.2189 0.05058 17 2
2940105276 15.56 6.15 nan nan 13 2
2937716299 26.17 11.04 nan nan 13 6
2970807282 17.21 5.05 0.072 0.09337 17 3
2937718923 27.25 4.24 0.2048 0.17382 5 13
2940901822 13.37 3.44 nan nan 20 0
2938638637 14.97 7.01 0.1142 0.04823 18 0
2970825994 10.42 3.4 nan nan 17 2
2939394160 22.98 10.74 0.294 0.06321 16 3
2937721679 13.76 9.89 0.2693 0.03984 18 1
2940908514 16.06 5.73 0.2241 0.04164 20 3
2940130869 28.91 9.16 nan nan 13 9
2939395035 5.85 0.68 0.0335 0.0226 17 0
2938641876 10.26 2.72 0.0715 0.03342 19 0
2970850376 15.16 6.55 nan nan 18 2
2940922093 11.92 3.84 0.1511 0.02934 22 0
2937778190 19.66 8.78 nan nan 16 3
2938651166 7.0 3.36 0.0898 0.01927 19 0
2940140085 19.17 7.08 0.246 0.0528 17 6
2937780450 23.96 2.0 nan nan 2 17
2940144229 15.84 7.65 0.2207 0.05965 9 5
2939412215 14.81 10.16 0.2139 0.0374 21 0
2970867880 10.85 3.77 0.076 0.03756 18 1
2940924073 20.98 9.04 nan nan 11 10
2938657376 11.94 5.05 0.0483 0.05983 19 0
2937787867 17.44 5.5 0.1513 0.05964 15 7
2939424913 13.98 4.87 0.0927 0.04457 21 0
2940933352 22.92 9.55 0.0446 0.18922 20 3
2970909027 9.09 7.09 0.2997 0.01884 19 0
2940153538 28.12 12.19 0.1366 0.16194 13 8
2937789094 25.18 4.74 0.244 0.14203 5 14
2970910538 11.59 3.3 0.0559 0.05136 18 1
2940963619 23.56 7.2 nan nan 17 2
2940154734 11.6 5.03 0.1521 0.02773 22 0
2937810288 22.88 8.39 0.2826 0.06056 16 3
2938666749 18.07 10.84 0.0661 0.09437 18 1
2939469577 8.32 0.84 0.0529 0.03933 10 0
2970914103 13.35 5.28 0.1196 0.04027 18 1
2943200932 7.71 1.32 0.1317 0.0205 17 0
2939470816 20.34 3.27 0.2146 0.11062 5 13
2940179500 24.42 16.59 0.2724 0.06362 14 7
2970914647 11.34 5.1 0.1422 0.03254 19 0
2938669680 22.58 5.83 0.0066 1.9133 8 11
2939473162 8.57 4.0 0.0938 0.02507 18 0
2940182984 16.7 6.18 0.0931 0.06299 17 5
2937856748 16.2 6.42 0.0597 0.11568 15 2
2970342740 8.46 4.27 0.1655 0.02114 18 0
2939484586 13.93 4.96 0.1067 0.05828 13 2
2970924806 14.8 6.31 0.1167 0.04442 19 0
2938718310 11.5 2.68 0.089 0.03338 22 0
2940188367 15.83 5.18 0.1234 0.04596 21 1
2970925189 10.02 5.45 0.0372 0.05646 18 1
2939486719 15.4 5.91 0.3317 0.038 17 2
2970931532 16.61 4.01 0.0898 0.07269 16 3
2937879305 13.0 5.54 0.1006 0.04363 16 1
2940219833 12.01 5.7 0.0821 0.03911 19 0
2940221461 29.89 8.87 nan nan 4 15
2938721033 18.01 7.15 0.123 0.0538 21 0
2970932715 6.99 2.49 0.2221 0.01701 18 0
